kod,year_month,total_sales,balance
00002867,2022-08,1.0,
00002867,2022-09,3.0,
00002867,2022-11,2.0,
00002867,2022-12,3.0,
00002867,2023-01,2.0,
00002867,2023-02,3.0,
00002867,2023-03,2.0,
00002867,2023-04,1.0,
00002867,2023-06,2.0,
00002867,2023-07,1.0,
00002867,2023-10,4.0,
00002867,2023-11,3.0,
00002867,2023-12,1.0,
00002867,2024-01,2.0,2.0
00002867,2024-02,2.0,2.0
00002867,2024-03,3.0,3.0
00002867,2024-04,2.0,
00002867,2024-05,1.0,
00002867,2024-06,1.0,
00002868,2022-01,2.0,2.0
00002868,2022-08,1.0,1.0
00002868,2022-09,1.0,1.0
00002868,2023-01,2.0,2.0
00002868,2023-04,2.0,2.0
00002868,2023-05,2.0,2.0
00002868,2023-06,1.0,1.0
00002868,2023-07,2.0,2.0
00002868,2023-09,1.0,1.0
00002868,2023-12,1.0,
00002868,2024-01,1.0,1.0
00002868,2024-02,1.0,1.0
00002868,2024-03,1.0,1.0
00002869,2022-08,1.0,
00002869,2022-09,2.0,
00002869,2023-01,1.0,
00002869,2023-02,1.0,
00002869,2023-03,1.0,
00002869,2023-04,1.0,
00002869,2023-07,1.0,
00002869,2023-09,1.0,
00002869,2023-11,1.0,
00002869,2024-05,1.0,
00002869,2024-06,1.0,
00002869,2024-07,2.0,
00002873,2023-03,1.0,1.0
00002875,2022-05,1.0,
00002875,2022-08,1.0,1.0
00002875,2022-09,1.0,
00002875,2022-12,1.0,
00002875,2023-01,1.0,
00002875,2023-02,1.0,
00002875,2023-05,1.0,
00002875,2023-06,1.0,
00002875,2023-10,1.0,
00002875,2023-12,2.0,
00002875,2024-02,1.0,
00002875,2024-03,1.0,
00002875,2024-04,2.0,
00002876,2022-08,2.0,2.0
00002876,2022-11,2.0,2.0
00002876,2023-02,4.0,4.0
00002876,2023-04,1.0,1.0
00002876,2023-06,2.0,2.0
00002876,2023-09,1.0,1.0
00002876,2023-10,1.0,2.0
00002876,2023-11,2.0,1.0
00002876,2023-12,1.0,1.0
00002876,2024-01,1.0,1.0
00002876,2024-04,1.0,1.0
00002876,2024-05,1.0,2.0
00002876,2024-06,2.0,2.0
00002876,2024-08,1.0,1.0
00002877,2022-01,3.0,3.0
00002877,2022-03,1.0,1.0
00002877,2022-08,2.0,2.0
00002877,2022-11,3.0,2.0
00002877,2023-03,3.0,4.0
00002877,2023-04,1.0,
00002877,2023-05,1.0,1.0
00002877,2023-06,1.0,2.0
00002877,2023-07,1.0,
00002877,2023-10,1.0,
00002877,2024-08,1.0,
00002879,2022-03,1.0,2.0
00002879,2022-04,1.0,
00002879,2022-08,1.0,1.0
00002879,2023-08,1.0,1.0
00002879,2024-02,1.0,1.0
00002881,2022-10,3.0,3.0
00002886,2022-01,1.0,1.0
00002886,2022-06,1.0,1.0
00002886,2022-11,1.0,
00002886,2023-12,1.0,1.0
00002887,2022-01,1.0,1.0
00002887,2022-03,2.0,2.0
00002887,2024-07,1.0,1.0
00002888,2022-01,1.0,1.0
00002888,2022-03,1.0,1.0
00002888,2022-10,1.0,1.0
00002889,2022-01,1.0,1.0
00002889,2022-03,2.0,2.0
00002889,2022-10,1.0,1.0
00002889,2023-10,1.0,2.0
00002889,2024-07,1.0,2.0
00002890,2022-01,1.0,1.0
00002890,2023-01,1.0,2.0
00002890,2023-07,1.0,1.0
00002890,2023-08,1.0,1.0
00002890,2024-07,1.0,1.0
00002891,2022-01,1.0,1.0
00002891,2023-07,1.0,1.0
00002891,2023-08,1.0,1.0
00002892,2022-03,1.0,1.0
00002892,2023-08,1.0,0.0
00002893,2022-01,1.0,1.0
00002894,2022-01,1.0,1.0
00002895,2022-01,1.0,1.0
00002895,2022-03,2.0,2.0
00002896,2022-01,1.0,1.0
00002897,2022-01,1.0,1.0
00002898,2022-01,1.0,1.0
00002899,2022-01,1.0,5.0
00002900,2022-01,1.0,
00002900,2022-09,1.0,1.0
00002901,2022-01,1.0,1.0
00002903,2022-12,1.0,1.0
00002903,2023-06,1.0,0.0
00002904,2022-01,1.0,3.0
00002905,2022-01,4.0,4.0
00002906,2022-01,5.0,5.0
00002907,2022-01,1.0,1.0
00002907,2022-04,1.0,1.0
00002907,2022-12,1.0,1.0
00002908,2022-05,2.0,2.0
00002908,2022-10,2.0,0.0
00002908,2024-04,2.0,4.0
00002909,2022-11,1.0,1.0
00002909,2023-05,1.0,4.0
00002909,2023-12,1.0,1.0
00002909,2024-03,2.0,11.0
00002909,2024-05,1.0,3.0
00002909,2024-07,1.0,3.0
00002910,2022-01,1.0,5.0
00002911,2023-03,2.0,0.0
00002912,2022-01,1.0,1.0
00002912,2023-06,1.0,1.0
00002914,2023-10,2.0,18.0
00002914,2023-12,1.0,17.0
00002917,2022-01,1.0,4.0
00002917,2022-03,2.0,2.0
00002917,2022-06,1.0,3.0
00002917,2022-10,1.0,0.0
00002917,2022-11,1.0,1.0
00002917,2022-12,1.0,3.0
00002917,2023-03,1.0,2.0
00002917,2024-01,1.0,0.0
00002918,2022-12,4.0,0.0
00002919,2022-05,2.0,14.0
00002919,2022-07,4.0,6.0
00002919,2022-08,4.0,6.0
00002919,2022-10,4.0,4.0
00002919,2022-11,4.0,10.0
00002919,2023-04,8.0,20.0
00002919,2023-10,5.0,9.0
00002919,2024-01,4.0,4.0
00002919,2024-03,4.0,12.0
00002919,2024-04,4.0,4.0
00002920,2022-04,1.0,2.0
00002920,2022-10,1.0,0.0
00002921,2022-02,1.0,1.0
00002921,2022-09,1.0,0.0
00002921,2024-08,1.0,
00002922,2022-02,4.0,0.0
00002924,2022-02,1.0,2.0
00002924,2022-03,1.0,2.0
00002924,2022-04,-1.0,2.0
00002924,2022-11,1.0,1.0
00002924,2024-04,1.0,0.0
00002925,2022-03,4.0,24.0
00002925,2022-05,4.0,24.0
00002925,2022-06,8.0,24.0
00002925,2022-10,4.0,16.0
00002925,2022-12,8.0,16.0
00002925,2023-07,4.0,4.0
00002925,2023-08,4.0,4.0
00002925,2023-11,4.0,16.0
00002925,2024-02,4.0,4.0
00002925,2024-03,4.0,8.0
00002925,2024-04,4.0,12.0
00002925,2024-06,4.0,12.0
00002926,2022-02,1.0,0.0
00002926,2023-03,2.0,2.0
00002926,2023-04,0.0,0.0
00002926,2024-07,1.0,2.0
00002927,2022-02,1.0,16.0
00002927,2022-07,1.0,7.0
00002927,2022-10,7.0,16.0
00002927,2023-08,2.0,6.0
00002927,2024-02,1.0,5.0
00002927,2024-06,3.0,2.0
00002927,2024-07,5.0,7.0
00002928,2022-11,1.0,2.0
00002928,2023-06,1.0,1.0
00002928,2024-02,1.0,2.0
00002928,2024-04,1.0,1.0
00002929,2022-01,3.0,42.0
00002929,2022-02,5.0,17.0
00002929,2022-04,2.0,15.0
00002929,2022-06,3.0,11.0
00002929,2022-07,1.0,10.0
00002929,2022-08,1.0,8.0
00002929,2022-09,2.0,7.0
00002929,2022-10,1.0,6.0
00002929,2022-11,1.0,5.0
00002929,2022-12,1.0,4.0
00002929,2023-01,1.0,4.0
00002929,2023-05,1.0,7.0
00002929,2023-09,1.0,10.0
00002929,2023-10,4.0,20.0
00002929,2024-02,1.0,8.0
00002929,2024-05,1.0,7.0
00002929,2024-07,1.0,6.0
00002930,2022-01,2.0,8.0
00002930,2022-06,2.0,2.0
00002930,2022-08,2.0,4.0
00002931,2022-08,1.0,1.0
00002932,2022-02,1.0,
00002933,2022-11,1.0,1.0
00002934,2022-01,6.0,26.0
00002934,2022-10,6.0,4.0
00002934,2023-06,2.0,12.0
00002934,2024-05,1.0,11.0
00002935,2022-02,1.0,1.0
00002935,2022-09,1.0,1.0
00002936,2022-02,2.0,2.0
00002937,2022-02,1.0,1.0
00002937,2022-09,1.0,1.0
00002938,2022-02,1.0,1.0
00002938,2022-09,1.0,1.0
00002939,2022-09,1.0,1.0
00002941,2022-02,6.0,6.0
00002942,2022-02,1.0,1.0
00002943,2022-02,1.0,1.0
00002944,2022-02,1.0,1.0
00002946,2024-05,1.0,3.0
00002947,2022-02,1.0,3.0
00002947,2022-07,1.0,1.0
00002947,2022-08,1.0,1.0
00002947,2023-04,1.0,2.0
00002947,2023-07,1.0,1.0
00002947,2023-09,1.0,1.0
00002947,2024-05,1.0,0.0
00002948,2024-07,3.0,3.0
00002952,2022-02,1.0,1.0
00002953,2022-02,2.0,2.0
00002960,2023-04,1.0,4.0
00002960,2023-08,1.0,3.0
00002960,2024-06,1.0,2.0
00002961,2022-05,1.0,0.0
00002964,2023-06,1.0,4.0
00002967,2023-06,1.0,0.0
00002968,2023-08,1.0,3.0
00002971,2023-02,1.0,0.0
00002972,2022-11,1.0,0.0
00002978,2023-05,1.0,0.0
00002979,2022-02,3.0,3.0
00002981,2023-10,1.0,5.0
00002985,2023-06,1.0,0.0
00002990,2022-02,1.0,5.0
00002990,2022-07,2.0,4.0
00002990,2022-10,3.0,4.0
00002990,2023-04,1.0,3.0
00002990,2023-08,3.0,0.0
00002991,2022-02,1.0,1.0
00002991,2024-01,1.0,1.0
00002992,2023-07,0.0,1.0
00002993,2024-04,1.0,0.0
00002994,2023-03,1.0,0.0
00002994,2023-04,1.0,0.0
00002996,2022-02,2.0,2.0
00002998,2022-02,20.0,37.0
00002998,2022-03,3.0,7.0
00002998,2022-06,2.0,5.0
00002998,2022-08,1.0,4.0
00002998,2022-10,3.0,0.0
00002998,2022-11,1.0,0.0
00002998,2023-06,4.0,10.0
00002998,2023-07,4.0,0.0
00002998,2023-08,3.0,0.0
00002998,2023-11,5.0,24.0
00002998,2023-12,1.0,9.0
00002998,2024-05,5.0,4.0
00002998,2024-08,2.0,
00002999,2022-05,1.0,1.0
00002999,2023-03,1.0,2.0
00002999,2023-06,1.0,2.0
00003000,2023-03,1.0,1.0
00003000,2023-05,1.0,3.0
00003000,2023-06,1.0,4.0
00003000,2023-08,1.0,1.0
00003001,2022-02,1.0,3.0
00003001,2022-03,-1.0,0.0
00003001,2022-04,1.0,0.0
00003001,2022-05,1.0,1.0
00003002,2022-06,1.0,2.0
00003002,2022-07,1.0,3.0
00003002,2023-02,2.0,9.0
00003002,2023-06,1.0,7.0
00003002,2023-07,1.0,7.0
00003002,2023-10,1.0,6.0
00003002,2023-12,1.0,5.0
00003002,2024-04,1.0,4.0
00003002,2024-07,2.0,2.0
00003003,2022-02,3.0,34.0
00003003,2022-03,3.0,14.0
00003003,2022-06,2.0,10.0
00003003,2022-07,2.0,8.0
00003003,2022-08,2.0,5.0
00003003,2022-09,3.0,4.0
00003003,2022-10,1.0,2.0
00003003,2022-11,2.0,2.0
00003003,2023-06,2.0,3.0
00003003,2023-08,5.0,3.0
00003003,2023-11,3.0,0.0
00003004,2022-02,5.0,33.0
00003004,2022-03,2.0,8.0
00003004,2022-04,5.0,8.0
00003004,2022-06,2.0,4.0
00003004,2022-07,2.0,3.0
00003004,2022-08,1.0,1.0
00003004,2022-09,2.0,0.0
00003004,2022-10,1.0,0.0
00003005,2022-02,16.0,20.0
00003005,2022-03,4.0,0.0
00003006,2022-02,11.0,25.0
00003006,2022-03,4.0,5.0
00003006,2022-06,2.0,2.0
00003006,2022-07,1.0,2.0
00003006,2022-09,2.0,0.0
00003007,2022-07,1.0,18.0
00003007,2022-08,1.0,18.0
00003007,2022-10,2.0,15.0
00003007,2022-11,1.0,15.0
00003007,2023-10,1.0,10.0
00003007,2023-11,3.0,8.0
00003007,2023-12,2.0,8.0
00003007,2024-05,4.0,2.0
00003007,2024-07,2.0,6.0
00003008,2022-03,1.0,19.0
00003008,2022-06,3.0,16.0
00003008,2022-08,1.0,14.0
00003008,2022-09,1.0,13.0
00003008,2022-10,1.0,7.0
00003008,2022-11,6.0,6.0
00003008,2022-12,1.0,6.0
00003008,2023-03,3.0,3.0
00003008,2023-07,1.0,0.0
00003008,2023-08,3.0,0.0
00003009,2022-08,2.0,18.0
00003009,2022-10,2.0,15.0
00003009,2022-11,1.0,15.0
00003009,2023-10,1.0,12.0
00003009,2023-11,1.0,12.0
00003009,2023-12,1.0,12.0
00003010,2022-03,1.0,21.0
00003010,2022-07,1.0,20.0
00003010,2022-10,1.0,18.0
00003010,2022-11,1.0,17.0
00003010,2022-12,1.0,17.0
00003010,2023-04,1.0,16.0
00003010,2023-06,1.0,15.0
00003010,2023-12,3.0,11.0
00003013,2022-10,1.0,2.0
00003013,2023-10,1.0,1.0
00003016,2022-02,1.0,1.0
00003017,2022-02,2.0,5.0
00003018,2022-06,3.0,7.0
00003018,2022-08,1.0,6.0
00003019,2022-02,1.0,5.0
00003020,2022-05,2.0,4.0
00003020,2022-10,2.0,0.0
00003021,2022-12,1.0,1.0
00003021,2023-01,1.0,0.0
00003022,2022-03,2.0,0.0
00003022,2022-04,2.0,2.0
00003022,2022-11,2.0,0.0
00003022,2022-12,2.0,2.0
00003022,2023-03,2.0,4.0
00003022,2023-04,4.0,10.0
00003022,2023-05,2.0,10.0
00003022,2023-06,2.0,4.0
00003022,2023-07,4.0,8.0
00003022,2023-10,4.0,4.0
00003022,2023-11,2.0,8.0
00003022,2023-12,2.0,12.0
00003022,2024-02,2.0,6.0
00003022,2024-04,2.0,6.0
00003022,2024-05,4.0,8.0
00003022,2024-06,4.0,8.0
00003023,2022-08,1.0,0.0
00003025,2022-04,3.0,3.0
00003025,2022-06,2.0,6.0
00003025,2022-07,1.0,3.0
00003025,2022-11,2.0,5.0
00003025,2022-12,2.0,2.0
00003025,2023-06,2.0,0.0
00003026,2022-03,2.0,2.0
00003027,2022-03,2.0,1.0
00003028,2022-03,2.0,1.0
00003029,2022-03,1.0,1.0
00003029,2023-06,1.0,4.0
00003029,2024-01,1.0,2.0
00003029,2024-02,1.0,2.0
00003029,2024-04,1.0,1.0
00003029,2024-07,1.0,0.0
00003030,2022-03,1.0,9.0
00003030,2023-04,4.0,5.0
00003031,2023-04,1.0,9.0
00003032,2022-02,1.0,1.0
00003033,2022-02,1.0,1.0
00003034,2022-09,1.0,1.0
00003034,2023-01,1.0,2.0
00003036,2023-06,1.0,3.0
00003037,2022-03,5.0,0.0
00003038,2023-01,1.0,9.0
00003038,2023-04,4.0,5.0
00003038,2023-06,1.0,4.0
00003039,2023-06,4.0,4.0
00003039,2023-09,4.0,4.0
00003039,2023-11,8.0,20.0
00003039,2024-06,4.0,12.0
00003040,2022-03,1.0,3.0
00003041,2022-03,2.0,2.0
00003042,2022-03,1.0,1.0
00003044,2022-10,1.0,0.0
00003045,2023-08,2.0,6.0
00003045,2024-05,6.0,0.0
00003046,2023-06,2.0,0.0
00003046,2023-07,1.0,0.0
00003048,2022-06,1.0,2.0
00003048,2023-03,1.0,4.0
00003048,2023-04,1.0,4.0
00003048,2023-12,2.0,3.0
00003048,2024-01,1.0,7.0
00003048,2024-02,6.0,10.0
00003048,2024-03,1.0,6.0
00003048,2024-05,2.0,9.0
00003048,2024-06,1.0,6.0
00003048,2024-07,2.0,9.0
00003056,2022-03,2.0,2.0
00003056,2023-09,1.0,1.0
00003057,2022-03,2.0,2.0
00003057,2022-09,1.0,1.0
00003057,2023-04,1.0,1.0
00003057,2023-09,1.0,0.0
00003057,2024-06,1.0,1.0
00003058,2022-03,2.0,2.0
00003058,2022-09,1.0,1.0
00003058,2023-04,1.0,1.0
00003058,2023-09,1.0,0.0
00003059,2022-03,2.0,2.0
00003059,2023-01,1.0,2.0
00003059,2023-10,1.0,1.0
00003060,2022-03,2.0,2.0
00003060,2023-01,1.0,1.0
00003060,2023-10,1.0,1.0
00003061,2022-03,2.0,2.0
00003061,2023-01,1.0,1.0
00003061,2023-10,1.0,1.0
00003062,2022-03,4.0,4.0
00003063,2022-03,1.0,1.0
00003063,2023-10,1.0,1.0
00003064,2022-03,2.0,2.0
00003065,2022-03,1.0,1.0
00003066,2022-08,4.0,4.0
00003066,2022-09,4.0,12.0
00003066,2023-06,4.0,4.0
00003066,2024-03,4.0,12.0
00003066,2024-04,8.0,32.0
00003067,2022-03,4.0,8.0
00003067,2022-04,4.0,20.0
00003067,2022-05,4.0,28.0
00003067,2022-06,12.0,16.0
00003067,2022-07,16.0,24.0
00003067,2022-10,16.0,36.0
00003067,2022-11,4.0,28.0
00003067,2023-03,4.0,44.0
00003067,2023-04,4.0,68.0
00003067,2023-05,8.0,36.0
00003067,2023-09,4.0,32.0
00003067,2023-11,4.0,24.0
00003067,2023-12,4.0,24.0
00003067,2024-02,8.0,40.0
00003067,2024-03,8.0,72.0
00003067,2024-05,8.0,24.0
00003067,2024-06,8.0,20.0
00003067,2024-07,12.0,28.0
00003068,2022-04,4.0,12.0
00003068,2022-05,8.0,12.0
00003068,2022-06,12.0,16.0
00003068,2022-07,4.0,13.0
00003068,2022-08,12.0,18.0
00003068,2022-11,4.0,19.0
00003068,2022-12,4.0,8.0
00003068,2023-01,4.0,8.0
00003068,2023-02,4.0,12.0
00003068,2023-03,4.0,16.0
00003068,2023-04,4.0,12.0
00003068,2023-05,8.0,8.0
00003068,2023-06,4.0,12.0
00003068,2023-07,4.0,4.0
00003068,2023-09,4.0,16.0
00003068,2023-10,8.0,16.0
00003068,2023-11,8.0,16.0
00003068,2024-02,4.0,4.0
00003068,2024-04,4.0,16.0
00003068,2024-06,4.0,12.0
00003068,2024-07,8.0,16.0
00003069,2022-03,1.0,8.0
00003069,2022-04,1.0,1.0
00003070,2022-03,1.0,1.0
00003072,2022-04,4.0,8.0
00003072,2022-06,8.0,8.0
00003072,2023-07,4.0,4.0
00003072,2024-06,4.0,4.0
00003074,2022-07,4.0,0.0
00003075,2022-10,4.0,4.0
00003075,2023-05,4.0,8.0
00003075,2023-09,4.0,0.0
00003076,2023-05,4.0,0.0
00003077,2022-03,1.0,1.0
00003078,2022-03,1.0,1.0
00003078,2022-06,2.0,3.0
00003078,2022-07,1.0,0.0
00003078,2023-03,3.0,1.0
00003078,2023-04,1.0,0.0
00003078,2023-05,2.0,2.0
00003078,2024-01,1.0,1.0
00003078,2024-04,1.0,1.0
00003078,2024-06,2.0,4.0
00003081,2022-11,1.0,0.0
00003081,2022-12,1.0,2.0
00003082,2022-10,2.0,8.0
00003082,2023-10,2.0,13.0
00003083,2022-07,1.0,1.0
00003083,2023-08,1.0,0.0
00003084,2022-03,3.0,7.0
00003084,2022-04,2.0,4.0
00003084,2022-05,2.0,0.0
00003084,2022-06,1.0,0.0
00003085,2022-10,7.0,0.0
00003086,2022-05,4.0,0.0
00003087,2022-03,4.0,31.0
00003087,2022-04,5.0,22.0
00003087,2022-05,4.0,9.0
00003087,2022-06,3.0,13.0
00003087,2022-07,6.0,19.0
00003087,2022-08,4.0,9.0
00003087,2022-11,3.0,21.0
00003087,2022-12,5.0,6.0
00003087,2023-01,5.0,14.0
00003087,2023-02,2.0,24.0
00003087,2023-04,4.0,8.0
00003087,2023-05,12.0,21.0
00003087,2023-06,7.0,18.0
00003087,2023-07,3.0,15.0
00003087,2023-08,2.0,21.0
00003087,2023-09,5.0,17.0
00003087,2023-10,4.0,25.0
00003087,2023-11,2.0,9.0
00003087,2023-12,6.0,12.0
00003087,2024-01,7.0,26.0
00003087,2024-02,6.0,17.0
00003087,2024-03,9.0,0.0
00003087,2024-04,7.0,0.0
00003088,2022-03,1.0,16.0
00003088,2022-04,4.0,13.0
00003088,2022-06,4.0,8.0
00003088,2022-07,1.0,9.0
00003088,2022-08,4.0,6.0
00003088,2022-09,1.0,11.0
00003088,2022-10,2.0,9.0
00003088,2022-11,4.0,17.0
00003088,2022-12,6.0,16.0
00003088,2023-01,1.0,11.0
00003088,2023-03,2.0,6.0
00003088,2023-05,3.0,19.0
00003088,2023-06,4.0,22.0
00003088,2023-07,2.0,5.0
00003088,2023-08,5.0,13.0
00003088,2023-09,4.0,19.0
00003088,2023-10,4.0,11.0
00003088,2023-11,8.0,16.0
00003088,2023-12,5.0,8.0
00003088,2024-01,8.0,23.0
00003088,2024-02,5.0,19.0
00003088,2024-03,4.0,3.0
00003088,2024-04,6.0,3.0
00003088,2024-06,3.0,0.0
00003089,2022-03,1.0,26.0
00003089,2022-04,3.0,6.0
00003089,2022-05,4.0,4.0
00003089,2022-06,3.0,10.0
00003089,2022-07,4.0,15.0
00003089,2022-08,5.0,9.0
00003089,2022-09,1.0,12.0
00003089,2022-10,2.0,14.0
00003089,2022-11,3.0,24.0
00003089,2023-01,1.0,12.0
00003089,2023-02,1.0,12.0
00003089,2023-04,2.0,10.0
00003089,2023-06,3.0,13.0
00003089,2023-07,4.0,22.0
00003089,2023-08,1.0,7.0
00003089,2023-09,5.0,1.0
00003089,2023-10,6.0,14.0
00003089,2023-11,7.0,30.0
00003089,2023-12,4.0,8.0
00003089,2024-01,2.0,8.0
00003089,2024-03,2.0,25.0
00003089,2024-05,7.0,13.0
00003089,2024-06,5.0,19.0
00003089,2024-07,4.0,9.0
00003090,2022-03,1.0,32.0
00003090,2022-04,1.0,13.0
00003090,2022-06,2.0,10.0
00003090,2022-07,3.0,6.0
00003090,2022-08,4.0,5.0
00003090,2022-09,1.0,4.0
00003090,2022-11,2.0,7.0
00003090,2023-01,2.0,10.0
00003090,2023-02,1.0,14.0
00003090,2023-04,8.0,19.0
00003090,2023-05,3.0,8.0
00003090,2023-06,1.0,5.0
00003090,2023-07,3.0,2.0
00003090,2023-08,3.0,9.0
00003090,2023-09,2.0,16.0
00003090,2023-10,13.0,35.0
00003090,2023-11,2.0,35.0
00003090,2023-12,10.0,13.0
00003090,2024-01,2.0,12.0
00003090,2024-02,1.0,19.0
00003090,2024-03,3.0,26.0
00003090,2024-04,3.0,11.0
00003090,2024-05,3.0,6.0
00003090,2024-06,5.0,15.0
00003090,2024-07,3.0,25.0
00003091,2022-03,1.0,1.0
00003092,2022-06,2.0,6.0
00003092,2022-07,2.0,8.0
00003092,2022-10,2.0,4.0
00003092,2022-11,2.0,8.0
00003092,2023-03,2.0,2.0
00003092,2024-03,2.0,0.0
00003093,2022-04,2.0,4.0
00003093,2023-05,2.0,0.0
00003095,2023-06,2.0,0.0
00003097,2022-03,2.0,16.0
00003097,2022-04,2.0,6.0
00003097,2022-06,2.0,4.0
00003097,2023-12,2.0,2.0
00003107,2022-12,0.0,2.0
00003107,2024-05,2.0,0.0
00003108,2022-03,1.0,3.0
00003108,2022-04,1.0,2.0
00003108,2023-02,1.0,0.0
00003109,2022-04,2.0,4.0
00003110,2022-12,1.0,7.0
00003112,2022-03,1.0,1.0
00003115,2022-07,4.0,4.0
00003115,2023-03,2.0,4.0
00003115,2023-06,2.0,0.0
00003116,2022-05,1.0,2.0
00003117,2022-06,1.0,0.0
00003118,2023-06,1.0,0.0
